행정동명,region_id,배후수요,경쟁강도,수익성
중구 중앙동,2611051000,36,38,7
중구 동광동,2611052000,4,96,0
중구 대청동,2611053000,8,78,6
중구 보수동,2611054500,4,94,22
중구 부평동,2611056000,28,44,5
중구 광복동,2611057000,5,83,0
중구 남포동,2611058000,39,50,0
중구 영주1동,2611059000,0,66,3
중구 영주2동,2611060000,3,78,7
서구 동대신1동,2614051000,12,48,5
서구 동대신2동,2614052000,10,84,7
서구 동대신3동,2614053000,28,48,11
서구 서대신1동,2614054000,20,46,36
서구 서대신3동,2614056000,12,66,13
서구 서대신4동,2614057000,14,72,12
서구 부민동,2614059000,12,74,14
서구 아미동,2614061500,16,81,7
서구 초장동,2614063000,10,50,0
서구 충무동,2614064000,14,62,19
서구 남부민1동,2614065000,10,98,3
서구 남부민2동,2614066000,16,67,11
서구 암남동,2614068000,38,48,46
동구 초량1동,2617051000,17,62,6
동구 초량2동,2617052000,22,66,2
동구 초량3동,2617053000,56,60,41
동구 초량6동,2617055000,7,100,2
동구 수정1동,2617056000,10,99,1
동구 수정2동,2617057000,12,67,18
동구 수정4동,2617059000,7,100,0
동구 수정5동,2617060000,7,100,1
동구 좌천동,2617064500,14,98,20
동구 범일1동,2617065000,12,45,19
동구 범일2동,2617066000,34,31,16
동구 범일5동,2617068000,20,50,16
영도구 남항동,2620053000,33,47,26
영도구 영선1동,2620054000,10,74,0
영도구 영선2동,2620055000,12,72,12
영도구 신선동,2620058500,10,100,6
영도구 봉래1동,2620059000,15,49,13
영도구 봉래2동,2620060500,12,50,10
영도구 청학1동,2620063000,12,100,5
영도구 청학2동,2620064000,18,80,42
영도구 동삼1동,2620065000,25,60,66
영도구 동삼2동,2620066000,25,74,3
영도구 동삼3동,2620067000,14,98,10
부산진구 부전1동,2623051000,99,36,37
부산진구 부전2동,2623052000,99,16,38
부산진구 연지동,2623054000,54,78,79
부산진구 초읍동,2623055000,68,66,56
부산진구 양정1동,2623056000,74,64,54
부산진구 양정2동,2623057000,65,54,50
부산진구 전포1동,2623060000,90,17,61
부산진구 전포2동,2623061000,80,52,57
부산진구 부암1동,2623064000,66,58,66
부산진구 부암3동,2623066000,66,64,68
부산진구 당감1동,2623067000,63,47,54
부산진구 당감2동,2623068000,53,66,25
부산진구 당감4동,2623070000,57,61,21
부산진구 가야1동,2623071000,70,84,34
부산진구 가야2동,2623072000,62,62,47
부산진구 개금1동,2623074000,66,40,46
부산진구 개금2동,2623075000,62,97,17
부산진구 개금3동,2623076000,60,44,77
부산진구 범천1동,2623077000,84,64,31
부산진구 범천2동,2623078000,61,74,57
동래구 수민동,2626051000,64,51,96
동래구 복산동,2626052000,38,56,16
동래구 명륜동,2626054500,84,26,85
동래구 온천1동,2626055000,78,38,99
동래구 온천2동,2626056000,53,48,75
동래구 온천3동,2626057000,85,47,100
동래구 사직1동,2626058000,60,74,26
동래구 사직2동,2626059000,58,54,75
동래구 사직3동,2626060000,50,70,46
동래구 안락1동,2626074000,54,50,35
동래구 안락2동,2626075000,54,38,71
동래구 명장1동,2626076100,44,66,28
동래구 명장2동,2626076200,38,60,37
남구 대연1동,2629051000,62,48,41
남구 대연3동,2629053000,82,18,100
남구 대연4동,2629054000,40,76,40
남구 대연5동,2629055000,42,68,40
남구 대연6동,2629056000,39,72,45
남구 용호1동,2629057000,56,41,100
남구 용호2동,2629058000,49,68,52
남구 용호3동,2629059000,42,79,24
남구 용호4동,2629060000,40,85,14
남구 용당동,2629061000,42,78,16
남구 감만1동,2629062000,40,98,17
남구 감만2동,2629063000,34,100,8
남구 우암동,2629064500,48,86,27
남구 문현1동,2629068000,40,86,21
남구 문현2동,2629069000,44,68,16
남구 문현3동,2629070000,66,80,43
남구 문현4동,2629071000,38,70,18
북구 구포1동,2632051000,57,41,28
북구 구포2동,2632052000,46,44,64
북구 구포3동,2632052100,40,72,41
북구 금곡동,2632053000,52,60,77
북구 화명1동,2632054100,75,72,100
북구 화명2동,2632054200,46,51,36
북구 화명3동,2632054300,60,38,84
북구 덕천1동,2632055000,48,50,25
북구 덕천2동,2632056000,66,20,22
북구 덕천3동,2632056100,34,76,9
북구 만덕1동,2632057100,42,78,33
북구 만덕2동,2632057200,47,69,66
북구 만덕3동,2632057300,42,54,46
해운대구 우1동,2635051000,100,50,65
해운대구 우2동,2635052000,100,41,93
해운대구 우3동,2635052500,70,42,100
해운대구 중1동,2635053000,100,27,83
해운대구 중2동,2635054000,69,46,31
해운대구 좌1동,2635055100,73,31,46
해운대구 좌2동,2635055200,68,38,83
해운대구 좌3동,2635055300,60,74,35
해운대구 좌4동,2635055400,74,62,56
해운대구 송정동,2635056000,88,48,14
해운대구 반여1동,2635057000,73,60,100
해운대구 반여2동,2635058000,57,75,19
해운대구 반여3동,2635059000,50,78,5
해운대구 반여4동,2635059500,58,50,41
해운대구 반송1동,2635061000,55,54,24
해운대구 반송2동,2635062000,54,77,42
해운대구 재송1동,2635065000,81,60,100
해운대구 재송2동,2635066000,62,59,49
사하구 괴정1동,2638051000,52,68,44
사하구 괴정2동,2638052000,39,74,31
사하구 괴정3동,2638053000,50,54,20
사하구 괴정4동,2638054000,46,54,32
사하구 당리동,2638055000,62,54,62
사하구 하단1동,2638056100,51,61,53
사하구 하단2동,2638056200,66,31,66
사하구 신평1동,2638057100,50,66,34
사하구 신평2동,2638057200,52,77,42
사하구 장림1동,2638058000,52,50,26
사하구 장림2동,2638059000,56,63,64
사하구 다대1동,2638060100,55,45,94
사하구 다대2동,2638060200,46,65,66
사하구 구평동,2638061000,44,66,27
사하구 감천1동,2638062000,46,76,46
사하구 감천2동,2638063000,37,50,1
금정구 서1동,2641051000,26,50,0
금정구 서2동,2641052000,32,60,13
금정구 서3동,2641053000,32,58,18
금정구 금사회동동,2641055500,38,70,11
금정구 부곡1동,2641057000,29,46,11
금정구 부곡2동,2641058000,41,78,49
금정구 부곡3동,2641059000,39,57,42
금정구 부곡4동,2641059100,34,74,30
금정구 장전1동,2641060000,42,51,46
금정구 장전2동,2641061000,64,36,72
금정구 선두구동,2641063500,28,94,0
금정구 청룡노포동,2641066500,41,56,15
금정구 남산동,2641067000,44,42,63
금정구 구서1동,2641068000,40,60,52
금정구 구서2동,2641069000,64,71,91
금정구 금성동,2641070000,26,76,0
강서구 대저1동,2644051000,35,68,1
강서구 대저2동,2644052000,67,72,4
강서구 강동동,2644053000,28,72,15
강서구 명지1동,2644053500,56,16,100
강서구 명지2동,2644054500,30,52,76
강서구 가락동,2644055000,20,66,0
강서구 녹산동,2644056000,67,52,45
강서구 가덕도동,2644058000,33,68,0
강서구 신호동,2644059000,24,60,36
연제구 거제1동,2647061000,54,58,100
연제구 거제2동,2647062000,46,64,79
연제구 거제3동,2647063000,54,66,22
연제구 거제4동,2647064000,34,66,22
연제구 연산1동,2647065000,45,64,46
연제구 연산2동,2647066000,76,48,64
연제구 연산3동,2647067000,26,99,19
연제구 연산4동,2647068000,60,41,41
연제구 연산5동,2647069000,51,26,50
연제구 연산6동,2647070000,48,70,33
연제구 연산8동,2647072000,40,43,35
연제구 연산9동,2647073000,50,48,97
수영구 남천1동,2650066000,52,47,54
수영구 남천2동,2650067000,36,94,37
수영구 수영동,2650073000,35,50,37
수영구 망미1동,2650074000,34,66,73
수영구 망미2동,2650075000,29,77,23
수영구 광안1동,2650076000,34,50,70
수영구 광안2동,2650077000,54,55,45
수영구 광안3동,2650078000,40,55,20
수영구 광안4동,2650079000,42,68,30
수영구 민락동,2650080000,62,16,82
사상구 삼락동,2653058000,38,38,7
사상구 모라1동,2653059100,40,48,68
사상구 모라3동,2653059300,26,100,6
사상구 덕포1동,2653060000,30,72,26
사상구 덕포2동,2653061000,38,58,32
사상구 괘법동,2653062000,62,33,75
사상구 감전동,2653064500,42,57,23
사상구 주례1동,2653065000,36,82,39
사상구 주례2동,2653066000,44,62,50
사상구 주례3동,2653066100,26,72,21
사상구 학장동,2653067000,42,64,73
사상구 엄궁동,2653068000,38,74,59
기장군 기장읍,2671025000,70,22,100
기장군 장안읍,2671025300,51,61,6
기장군 정관읍,2671025600,52,27,100
기장군 일광읍,2671025900,46,36,76
기장군 철마면,2671033000,26,78,7
